MassProfiler(10.0.2.200) 12/11/2024 14:27:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Source: all features in the table,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1816 of 1816 Features,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,RT,SD,DT,SD,CCS,SD,m/z,SD,Abundance,RSD,Z,Ions,Freq.,Q Score,Sat.,Mark,QC,QC,QC,QC,QC,QC,SampA,SampB,SampC,SampD,SampE,SampF
314,1.083,0.048,50.563,0.053,404.3,0.43,782.52,0.0003,0.000296,1.7,-1,3,11,96.5,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,126639.5,241846.1,142294.5,140141.9
315,0.52,0.043,47.272,0.064,379.45,0.52,625.4802,0.0004,0.0002914,2.07,-1,3,12,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,444115.4,117993.7,168484.3,61171.44,128656
316,3.395,0.012,30.69,0.033,247.43,0.26,452.817,0.0003,0.0002897,0.89,-1,3,22,98.1,,FALSE,92587.29,75724.8,62260.84,52365.09,0.001,0.001,113141.7,63229.75,48633.19,0.001,47392.59,0.001
317,0.201,0.004,43.036,0.046,342.85,0.37,916.9101,0.0005,0.0002875,1.17,-1,2,19,100,,FALSE,0.001,35464.93,50877.68,84718.07,99493.36,126142.7,0.001,0.001,96462.82,0.001,62636.8,90372.73
318,3.02,0.084,24.232,0.026,199.01,0.21,258.9213,0.0004,0.0002803,1.66,-1,5,13,89.3,,FALSE,0.001,0.001,190593,0.001,0.001,52142.45,0.001,0.001,0.001,0.001,214802,0.001
319,1.19,0.016,35.45,0.126,290.22,1.04,305.0186,0.0001,0.0002749,1.44,-1,2,13,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,59293.91,0.001,0.001,0.001,0.001,0.001
320,0.281,0.005,34.169,0.107,280.72,0.89,279.2332,0.0002,0.0002743,1.05,-1,2,23,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,129772.5,116200.5,104848.9,44328.73,100150.5
321,0.258,0.002,37.841,0.087,305.29,0.71,474.2346,0.0003,0.0002738,1.39,-1,3,13,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
322,3.267,0.081,25.686,0.025,210.44,0.21,276.8887,0.0003,0.0002735,1.88,-1,3,9,96.5,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
323,1.019,0.016,30.821,0.02,251.29,0.17,326.0918,0.0002,0.0002724,1.57,-1,3,12,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
324,2.404,0.005,27.943,0.038,238.41,0.33,146.0464,0.0003,0.0002716,2.04,-1,2,8,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,284048.5,212793,0.001,0.001,0.001,0.001
325,3.054,0.041,29.218,0.037,246.98,0.31,166.0543,0.0004,0.0002677,2.14,-1,3,9,93.7,,FALSE,0.001,76453.74,0.001,0.001,163625.8,0.001,0.001,0.001,126625.3,0.001,0.001,0.001
326,1.787,0.019,27.718,0.019,231.27,0.16,200.0574,0.0002,0.0002672,3.43,-1,2,3,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
327,3.311,0.021,28.709,0.046,232.55,0.38,380.8622,0.0003,0.0002665,1.63,-1,3,11,82.4,,FALSE,0.001,0.001,0.001,0.001,0.001,147050.8,0.001,0.001,203578.8,0.001,0.001,154210.4
328,1.202,0.049,28.272,0.103,230.91,0.85,305.0186,0.0001,0.0002637,1.37,-1,2,14,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,65698.25,0.001,0.001,0.001,0.001,0.001
329,0.318,0.01,20.202,0.017,172.82,0.15,134.0075,0.0001,0.0002628,2.46,-1,3,10,100,,FALSE,0.001,54277.38,0.001,0.001,0.001,0.001,99439.19,94132.72,147464.3,0.001,0.001,0.001
330,3.335,0.014,27.582,0.056,223.78,0.46,358.8823,0.0009,0.0002619,1.99,-1,4,8,82.4,,FALSE,0.001,0.001,0.001,0.001,249298.6,86355.72,0.001,0.001,211485,0.001,0.001,0.001
331,3.029,0.199,34.397,0.054,279.43,0.44,370.0354,0.0011,0.0002559,2.44,-1,3,7,92.7,,FALSE,304690.1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,434408.1,0.001,0.001,0.001
332,0.561,0.06,25.361,0.137,225.84,1.24,92.9288,0.0002,0.0002556,2.12,-1,5,8,86.4,,FALSE,0.001,0.001,227595.8,0.001,0.001,0.001,0.001,0.001,69411.48,0.001,190782.1,0.001
333,0.238,0.004,39.482,0.053,319.79,0.43,420.2505,0.0003,0.0002546,1.11,-1,3,22,100,,FALSE,0.001,23630.27,20503.93,30408.35,30365.3,40034.34,67878.9,0.001,139014.4,115351.3,122694.2,0.001
334,2.643,0.012,25.589,0.044,209.23,0.37,288.9505,0.0007,0.0002536,1.81,-1,3,11,98.3,,FALSE,0.001,0.001,108450.6,160778.2,0.001,0.001,62498.67,66539.84,212593.5,104734.5,97763.28,148631.1
335,2.021,0.042,43.325,0.051,347.03,0.41,672.341,0.0017,0.0002513,1.16,-1,3,22,99.3,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,21559.07,18901.92,6481.461,17466.44
336,0.566,0.014,20.183,0.017,172.65,0.15,134.0477,0.0002,0.0002513,4.7,-1,2,2,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,1078905,0.001,0.001,0.001,0.001,0.001
337,0.333,0.006,31.516,0.083,258.07,0.69,295.228,0.0002,0.000251,2.36,-1,2,8,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,170230.8,223681,0.001,82975.77,0.001,0.001
338,2.574,0.004,21.844,0.015,184.98,0.13,154.0632,0.0002,0.0002498,2.19,-1,2,7,96.8,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,130453.4,0.001,0.001,0.001,0.001,0.001
339,0.219,0.005,24.778,0.038,202.77,0.31,280.9825,0.0002,0.0002478,1.64,-1,2,10,98.8,,FALSE,120378,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,128346.6
340,0.519,0.038,30.053,0.151,268.16,1.36,92.9289,0.0002,0.0002476,1.41,-1,5,19,96.7,,FALSE,56068.23,103851.7,63351.84,117323.3,110893.3,0.001,0.001,12438.51,80322.73,47542.95,59138.72,0.001
341,2.994,0.098,26.207,0.068,213.05,0.56,334.896,0.0003,0.0002474,2.02,-1,5,9,91.8,,FALSE,272124.8,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,264081.2,0.001
342,3.287,0.112,26.486,0.011,215.3,0.09,336.8997,0.0012,0.0002473,2.79,-1,3,5,96.5,,FALSE,0.001,0.001,0.001,0.001,0.001,119988,0.001,0.001,0.001,0.001,0.001,0.001
343,3.358,0.012,28.938,0.018,237.91,0.15,265.1478,0.0002,0.0002473,1.85,-1,2,9,82.4,,FALSE,0.001,103860.6,142397.4,176641.2,0.001,0.001,0.001,0.001,0.001,0.001,0.001,163981.3
344,0.334,0.106,26.481,0.045,215.83,0.37,314.9271,0.0002,0.0002461,1.49,-1,3,13,88.1,,FALSE,0.001,105234.3,94601.87,52865.76,60333.64,0.001,178102.6,124577.2,0.001,0.001,156272.9,0.001
345,0.774,0.019,19.883,0.018,169.13,0.16,142.9251,0.0002,0.000246,1.99,-1,2,11,91.2,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,37298.46,234299.6,111880.1,69428.41,96116.92
346,0.602,0.01,33.254,0.03,269.26,0.24,404.034,0.0002,0.0002458,1.26,-1,3,15,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,111529.9,76630.16,0.001,56683.65,0.001,44500.47
347,2.895,0.117,28.715,0.067,234.47,0.55,308.0612,0.0012,0.0002447,2.3,-1,3,7,93.7,,FALSE,229433.3,0.001,0.001,26124.52,0.001,260644,0.001,0.001,0.001,0.001,0.001,0.001
348,2.078,0.025,46.475,0.043,371.68,0.35,749.3576,0.0013,0.0002446,1.39,-1,3,14,97.1,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,139182.9,0.001,0.001,0.001,0.001,0.001
349,1.695,0.036,42.94,0.042,344.35,0.34,633.3265,0.0002,0.0002442,1.45,-1,3,13,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
350,2.374,0.009,26.692,0.051,220.08,0.43,245.1157,0.0007,0.0002441,1.26,-1,2,15,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,62553.86,0.001,0.001,0.001,0.001
351,1.131,0.017,40.589,0.081,330.6,0.67,358.181,0.0002,0.0002432,1.65,-1,3,10,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
352,0.585,0.066,24.778,0.161,220.58,1.45,92.9288,0.0002,0.0002419,3.73,-1,5,6,85.3,,FALSE,0.001,0.001,0.001,0.001,688188.4,286469.3,0.001,0.001,0.001,0.001,0.001,22890.77
353,0.563,0.062,31.668,0.265,282.73,2.39,92.9288,0.0002,0.0002411,1.8,-1,5,11,99.5,,FALSE,61832.22,0.001,64657.13,95081.53,75067.44,195494.6,112055.3,0.001,0.001,0.001,0.001,0.001
354,3.249,0.1,23.028,0.047,191.99,0.39,194.9057,0.0005,0.0002402,2.57,-1,3,7,82.4,,FALSE,260424.2,0.001,0.001,19588.01,0.001,0.001,0.001,0.001,0.001,145348.9,0.001,70665.03
355,0.418,0.014,25.337,0.014,206.78,0.12,300.9123,0.0003,0.000239,2.05,-1,3,11,93.7,,FALSE,0.001,0.001,0.001,0.001,306604.8,154064.2,0.001,0.001,96701.94,0.001,0.001,62220.98
356,2.846,0.021,24.235,0.017,199.03,0.14,258.9221,0.0009,0.0002363,1.8,-1,3,10,90.9,,FALSE,0.001,0.001,176105.2,0.001,0.001,73018,0.001,0.001,0.001,0.001,0.001,0.001
357,3.084,0.138,34.229,0.06,276.57,0.49,436.0064,0.0003,0.000236,1.91,-1,2,10,93.2,,FALSE,0.001,0.001,102501.9,73886.97,63606.64,115890.6,0.001,66704.95,74813.53,178374.3,186282.4,302103.9
358,0.373,0.007,34.319,0.045,277.89,0.36,407.1682,0.0004,0.000236,1.45,-1,2,13,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
359,1.509,0.02,34.282,0.035,279.01,0.29,351.133,0.0003,0.0002354,1.35,-1,2,14,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
360,2.126,0.025,46.701,0.058,373.29,0.46,774.3382,0.0021,0.0002351,1.27,-1,3,16,98.5,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,54933.03,21721.59,0.001,0.001,0.001,0.001
361,0.987,0.102,20.487,0.013,175.41,0.11,133.0512,0.0001,0.0002346,4.87,-1,2,3,97.2,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,78607.84,0.001,0.001
362,2.347,0.005,41.548,0.037,333.34,0.3,612.2936,0.0018,0.0002345,1.28,-1,3,16,99.8,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,81189.11,44697.35,0.001,14894.96,0.001,0.001
363,0.514,0.032,16.261,0.07,143.75,0.63,92.929,0.0002,0.0002336,0.93,-1,9,25,98.9,,FALSE,0.001,4262.709,7732.482,0.001,0.001,0.001,60551.55,40425.08,0.001,44716.54,0.001,35271.85
364,2.849,0.011,21.198,0.094,177.64,0.8,176.8954,0.0003,0.0002335,1.22,-1,3,16,82.4,,FALSE,107477,0.001,97287.15,0.001,51905.14,75598.5,0.001,67003.83,0.001,0.001,116101.2,103840.2
365,1.81,0.054,27.943,0.039,230.02,0.33,256.0947,0.0002,0.0002332,1.48,-1,2,12,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
366,2.857,0.103,21.288,0.077,177.16,0.65,196.9044,0.001,0.0002312,2.53,-1,3,7,82.5,,FALSE,0.001,0.001,0.001,0.001,16639.28,0.001,263283.7,0.001,0.001,0.001,405051.4,0.001
367,0.204,0.003,39.427,0.054,314.72,0.44,776.9434,0.0005,0.0002303,0.82,-1,2,22,100,,FALSE,43808.39,0.001,0.001,46304.07,52361.7,0.001,0.001,55761.68,62797.5,59511.8,0.001,55710.51
368,1.516,0.014,25.905,0.03,222.98,0.26,130.0883,0.0001,0.0002301,1.78,-1,2,9,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
369,0.376,0.003,26.529,0.065,231.46,0.57,112.9863,0.0001,0.0002292,4.36,-1,2,2,93.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
370,0.347,0.003,28.404,0.037,232.99,0.3,277.1223,0.0002,0.0002289,1.43,-1,3,14,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,95255.77,70246.08,0.001,0.001
371,0.482,0.004,38.339,0.037,306.93,0.3,657.0357,0.0003,0.0002285,1.34,-1,2,16,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,38875.61,0.001,16946.56,0.001,0.001,0.001
372,0.527,0.047,25.841,0.064,212.09,0.53,266.804,0.0003,0.000228,1.35,-1,9,17,97.3,,FALSE,0.001,33929.49,11563.99,0.001,16364.56,0.001,0.001,0.001,0.001,81735.55,0.001,51966.37
373,1.064,0.017,30.848,0.039,250.4,0.32,367.1055,0.0003,0.0002257,3.56,-1,2,5,97.1,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,85303.39,0.001
374,0.423,0.03,19.876,0.01,172.12,0.09,116.9288,0.0002,0.0002252,2.91,-1,2,6,82.4,,FALSE,0.001,66693.52,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,181384.4
375,2.457,0.006,19.486,0.011,166.7,0.1,133.015,0.0002,0.0002248,2.33,-1,2,6,100,,FALSE,201391.8,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
376,0.481,0.012,18.75,0.098,163.04,0.87,111.0204,0.0001,0.0002248,3.03,-1,2,6,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,135680,0.001,0.001,0.001,0.001
377,2.322,0.005,34.222,0.058,276.81,0.48,421.1851,0.0008,0.0002246,1.28,-1,3,16,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,63799.55,38834.7,0.001,0.001,0.001,0.001
378,2.58,0.047,21.944,0.063,180.85,0.52,234.8729,0.0012,0.0002242,1.29,-1,9,19,100,,FALSE,26408.16,33967.54,57569.91,0.001,79247.69,173628.7,0.001,4731.277,53576.61,0.001,34711.95,50764.67
379,2.311,0.008,24.631,0.049,205.08,0.41,202.0733,0.0002,0.0002242,1.69,-1,2,10,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,98504.13,0.001,0.001,0.001,0.001
380,1.202,0.012,35.695,0.047,296.15,0.39,231.1355,0.0001,0.0002241,1.57,-1,2,11,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
381,3.342,0.051,27.235,0.125,221.45,1.03,336.8553,0.0008,0.0002237,1.66,-1,3,13,82.4,,FALSE,204615.3,0.001,0.001,0.001,0.001,0.001,0.001,25766.54,4708.151,0.001,101422.9,0.001
382,2.2,0.009,47.668,0.078,381.23,0.63,756.4,0.0017,0.0002213,1.48,-1,3,14,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,157852.4,40191.73,0.001,5880.747,0.001,0.001
383,0.541,0.059,29.563,0.184,263.75,1.66,92.9289,0.0002,0.00022,1.61,-1,5,13,93.7,,FALSE,55575.88,0.001,0.001,0.001,0.001,112694.4,121685,0.001,0.001,0.001,0.001,0.001
384,1.893,0.103,29.999,0.02,245.98,0.17,283.0308,0.0003,0.0002198,2.88,-1,2,4,99.6,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
385,1.002,0.012,29.235,0.038,253.48,0.34,122.0258,0.0001,0.0002193,1.76,-1,2,9,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
386,0.521,0.042,23.416,0.027,198.81,0.24,150.8869,0.0002,0.000219,0.5,-1,5,34,100,,FALSE,11191.01,13733.32,13059.61,15299.4,0.001,11828.3,57557.96,31989.44,32276.12,37892.55,28977.54,34926.91
387,2.526,0.116,19.93,0.015,170.67,0.13,132.0312,0.0003,0.0002176,4.21,-1,2,2,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
388,2.093,0.038,32.577,0.041,265.2,0.33,344.1846,0.0005,0.0002173,1.44,-1,3,13,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
389,0.314,0.004,28.23,0.055,232.28,0.46,259.1088,0.0002,0.000217,1.54,-1,2,12,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
390,0.755,0.005,25.944,0.154,213.93,1.29,243.0628,0.0001,0.0002148,2.12,-1,2,8,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,62847.27,0.001,0.001
391,2.229,0.007,25.841,0.032,214.45,0.27,216.0914,0.0006,0.0002145,1.92,-1,2,8,87,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
392,2.201,0.01,32.179,0.036,261.54,0.3,358.2001,0.0009,0.0002141,1.17,-1,2,17,97.2,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,67561.42,36722.37,0.001,0.001,0.001,0.001
393,0.296,0.006,28.41,0.03,235.37,0.26,227.2012,0.0002,0.0002139,1.41,-1,2,14,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,87409.37,81234.68,0.001,0.001
394,0.513,0.031,23.526,0.053,192.85,0.44,266.804,0.0001,0.0002137,0.92,-1,7,22,96.6,,FALSE,0.001,28731.07,0.001,0.001,0.001,0.001,0.001,36562.68,52046.93,59296.43,36927.52,50549.3
395,2.597,0.044,23.446,0.019,197.08,0.16,172.9585,0.0003,0.000212,2.08,-1,3,8,93,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,117045.6,0.001,0.001,0.001,0.001
396,2.942,0.101,46.213,0.034,367.72,0.27,1037.9318,0.0013,0.0002092,1.65,-1,3,12,88.3,,FALSE,74263.54,0.001,70614.02,74565.63,0.001,0.001,0.001,72170.24,103862.6,80225.88,107109.7,85565.85
397,2.218,0.009,36.03,0.052,291.15,0.42,441.2022,0.001,0.0002091,1.24,-1,2,16,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,96863.88,49531.25,0.001,0.001,0.001,0.001
398,0.592,0.007,30.493,0.045,248.58,0.37,326.11,0.0002,0.0002081,1.33,-1,2,14,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,65355.41,0.001,0.001,0.001,0.001,0.001
399,0.42,0.058,24.651,0.002,214.88,0.02,112.9861,0,0.0002077,4.58,-1,2,2,82.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
400,0.221,0.003,33.756,0.056,270.82,0.45,564.9129,0.0005,0.0002056,1.32,-1,3,15,99.6,,FALSE,0.001,0.001,57397.09,0.001,0.001,0.001,0.001,142627.6,0.001,0.001,0.001,0.001
401,1.31,0.02,26.73,0.039,221.41,0.33,225.088,0.0002,0.0002053,1.65,-1,2,10,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
402,0.245,0.004,21.742,0.019,183.09,0.16,165.9796,0.0002,0.0002042,3.08,-1,3,7,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,106029.1,504463.6,50285.39,0.001,0.001,0.001
403,3.277,0.154,26.301,0.07,214.35,0.58,314.8732,0.0003,0.0002041,4.02,-1,3,3,81.6,,FALSE,0.001,576209.9,0.001,50301.52,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
404,2.282,0.007,31.219,0.039,254.04,0.32,344.1851,0.0007,0.0002031,1.44,-1,2,14,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,86609.59,0.001,0.001,0.001,0.001,0.001
405,0.536,0.108,31.288,0.018,273.5,0.16,112.9862,0.0001,0.0002028,3.04,-1,2,4,89.5,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
406,1.007,0.018,27.295,0.047,224.09,0.39,269.0881,0.0003,0.0002023,1.91,-1,3,9,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
407,0.39,0.031,23.597,0.056,196.08,0.47,206.9971,0.0001,0.0002023,2.12,-1,2,7,88.2,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
408,0.509,0.027,48.958,0.041,392.06,0.33,711.4707,0.0002,0.0002016,1.93,-1,4,11,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,273851.2,85935.41,74881.08,53550.97,86706.62
409,0.532,0.049,27.918,0.074,229.28,0.61,268.8008,0.0002,0.0002011,2.11,-1,5,10,100,,FALSE,37005.4,0.001,34092.86,0.001,0.001,25057.68,219449.2,134464.1,0.001,0.001,0.001,0.001
410,0.103,0.006,19.885,0.01,169.15,0.09,142.925,0.0002,0.0001997,1.85,-1,2,9,82.4,,FALSE,0.001,0.001,0.001,83475.68,119986.5,0.001,0.001,0.001,0.001,0.001,0.001,0.001
411,0.5,0.015,26.616,0.151,237.16,1.36,92.929,0.0002,0.0001994,2.24,-1,5,9,87.8,,FALSE,0.001,0.001,219303.7,0.001,0.001,0.001,0.001,40578.54,83508.74,0.001,123967.7,0.001
412,1.03,0.053,29.102,0.043,238.86,0.35,275.1042,0.0002,0.0001993,2.27,-1,2,7,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,44448.89,0.001,0.001,0.001,0.001
413,0.57,0.017,27.111,0.071,224.17,0.59,233.1046,0.0002,0.0001988,2.09,-1,2,8,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,174558.2,0.001,0.001,0.001,0.001,76321.36
414,0.863,0.055,21.479,0.044,181.76,0.37,154.9479,0.0001,0.0001983,4.94,-1,3,2,89.5,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,912827.2
415,0.446,0.064,19.882,0.01,169.12,0.09,142.925,0.0003,0.0001979,2.24,-1,2,9,89.1,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,85002.3,75292.45,19950.44
416,0.631,0.043,26.255,0.04,215.72,0.33,262.0392,0.0001,0.0001978,1.61,-1,3,11,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
417,2.99,0.115,28.108,0.024,227.35,0.19,394.8674,0.0006,0.0001972,1.39,-1,3,13,89.4,,FALSE,0.001,0.001,89056.23,0.001,0.001,0.001,0.001,0.001,97549.12,56241.76,89017.27,61608.46
418,0.588,0.014,29.233,0.031,240.32,0.25,266.0897,0.0002,0.0001967,1.57,-1,2,11,99.5,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,65929.88,75884.21,0.001,68527.16,0.001,0.001
419,2.355,0.005,27.286,0.037,224.33,0.31,261.0746,0.0005,0.0001948,1.58,-1,3,11,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
420,2.197,0.051,19.272,0.014,169.69,0.13,99.0097,0.0003,0.0001948,2.21,-1,2,7,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
421,0.793,0.004,52.138,0.064,418.28,0.51,662.4777,0.0002,0.0001932,1.68,-1,3,13,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,33206,74622.16,179589.5,44454.33,74700.06
422,0.412,0.075,29.813,0.039,242.67,0.32,336.9092,0.0002,0.0001927,1.55,-1,3,14,90.5,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,166875.1,119238.3,0.001,0.001,0.001,0.001
423,2.29,0.006,36.985,0.048,297.54,0.39,523.2204,0.0009,0.0001927,1.4,-1,2,13,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,45926.27,0.001,0.001,0.001,0.001,0.001
424,0.949,0.05,28.621,0.051,236.28,0.43,243.1715,0.0002,0.0001915,1.72,-1,2,10,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
425,2.014,0.016,22.739,0.014,188.52,0.11,213.0079,0.0002,0.0001914,1.92,-1,3,8,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
426,0.511,0.026,30.6,0.183,273.1,1.65,92.929,0.0002,0.0001905,1.47,-1,5,13,93.7,,FALSE,0.001,132025.1,0.001,81777.2,0.001,0.001,0.001,0.001,0.001,0.001,145608.9,93932.07
427,1.992,0.034,28.467,0.035,233.99,0.29,265.0952,0.0004,0.0001905,1.46,-1,2,12,98.1,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
428,0.708,0.044,25.34,0.022,206.8,0.18,300.9124,0.0004,0.00019,1.73,-1,3,13,95.6,,FALSE,0.001,0.001,0.001,181323.5,173474,95296.38,0.001,53107.89,63302.5,0.001,58770.82,0.001
429,1.338,0.055,25.378,0.038,210.44,0.32,218.1041,0.0002,0.0001889,1.7,-1,2,10,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
430,0.374,0.007,36,0.029,292.44,0.24,375.1786,0.0003,0.0001888,1.1,-1,2,19,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,86781.45,0.001,23830.66,0.001,0.001,57531.34
431,2.864,0.003,32.142,0.004,262.05,0.03,330.0442,0.0007,0.0001863,2.92,-1,3,4,87.2,,FALSE,0.001,0.001,0.001,0.001,0.001,237135.4,0.001,0.001,0.001,0.001,0.001,0.001
432,1.879,0.016,24.402,0.017,202.97,0.14,205.0838,0.0002,0.0001863,1.78,-1,2,9,97.8,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
433,1.574,0.063,25.495,0.054,213.41,0.46,187.1095,0.0001,0.0001856,2.31,-1,2,7,82.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
434,0.757,0.003,52.717,0.062,421.04,0.5,852.4994,0.0005,0.0001844,1.78,-1,2,9,87.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,85184.05,0.001,136731.7,117095.9,113915
435,0.222,0.005,29.147,0.017,236.4,0.14,368.9803,0.0005,0.0001841,2.62,-1,2,5,96.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
