MassProfiler(10.0.2.200) 12/11/2024 14:27:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Source: all features in the table,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1816 of 1816 Features,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,RT,SD,DT,SD,CCS,SD,m/z,SD,Abundance,RSD,Z,Ions,Freq.,Q Score,Sat.,Mark,QC,QC,QC,QC,QC,QC,SampA,SampB,SampC,SampD,SampE,SampF
25,0.374,0.006,31.594,0.04,258.79,0.33,293.1762,0.0002,0.0114378,1.01,-1,4,32,100,x,FALSE,42926.37,0.001,0.001,47160.89,0.001,0.001,1693480,621851.7,900739.8,572181.1,271272.2,1690413
26,0.202,0.003,43.224,0.071,344.67,0.57,864.8949,0.0006,0.0098899,0.23,-1,5,36,100,,FALSE,1670924,1358537,1158892,1149947,871944.8,846283.8,1615737,1830063,1468314,1389851,1428427,1476973
27,0.203,0.003,41.027,0.045,327.15,0.36,842.912,0.0003,0.0095389,0.12,-1,5,36,100,,FALSE,1127055,1305455,1119304,1232329,1453467,1195487,1596496,1336522,1647681,1551155,1413096,1534765
28,0.754,0.004,47.822,0.024,382.85,0.19,716.5245,0.0003,0.0094227,1.42,-1,4,14,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,4553342,3152493,6062898,5022005,4020597
29,0.567,0.012,28.882,0.024,236.05,0.2,302.0664,0.0002,0.009127,0.85,-1,4,28,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,1073989,1037361,1522776,1056969,471062.4,1249213
30,0.274,0.004,30.957,0.045,253.99,0.37,281.2491,0.0003,0.0088348,0.96,-1,2,29,100,,FALSE,47640.75,0.001,0.001,0.001,0.001,0.001,373824.5,2466355,3292795,3628869,1639593,3401324
31,1.531,0.04,24.412,0.029,206.08,0.25,164.072,0.0003,0.0084962,1.06,-1,2,27,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,972791.4,794270.2,371722.2,480742.4,324465.4,417450.2
32,2.409,0.078,26.24,0.015,214.43,0.13,294.9949,0.0008,0.0082628,0.59,-1,3,31,100,,FALSE,1827095,2518627,2103859,1474728,1460206,0.001,2191417,1651815,814333.2,1189871,1756198,1002827
33,0.793,0.004,45.793,0.016,367.05,0.13,662.4775,0.0003,0.0079657,1.53,-1,4,15,100,x,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,475458.8,3673872,5951026,1856959,3726078
34,0.213,0.002,32,0.054,257.46,0.44,494.9694,0.0004,0.0071426,0.52,-1,2,36,100,,FALSE,1882532,1621368,1485927,1003243,198433.5,173236.7,1713952,1583206,662480.5,1079332,1466647,852351.3
35,0.532,0.048,44.47,0.035,354.15,0.28,955.9728,0.0002,0.0070652,0.7,-1,5,36,100,,FALSE,465988.1,388254,328368.7,436341,775737.1,2495067,981143.1,818779.8,766060.5,822123.9,662777.8,700312.2
36,3.126,0.117,18.44,0.008,159.47,0.07,116.9291,0.0002,0.0065803,1.28,-1,3,19,93.2,,FALSE,2759292,929350.3,1261057,1451521,0.001,3327329,3288535,0.001,0.001,1415110,0.001,0.001
37,0.211,0.002,30.766,0.025,247.62,0.2,480.9536,0.0002,0.0064836,0.43,-1,3,36,100,,FALSE,656501.8,732828.4,892454.1,1185840,1290116,1557009,575964,828893.6,1417128,1100871,924605.1,1248562
38,0.21,0.002,24.586,0.101,207.13,0.87,168.9896,0.0001,0.0064311,0.93,-1,2,20,100,,FALSE,0.001,2027325,0.001,0.001,1276876,1746910,1666280,0.001,0.001,0.001,1505174,1882108
39,0.374,0.016,46.044,0.031,366.39,0.25,1033.9882,0.0002,0.005883,1.17,-1,3,29,99.2,,FALSE,0.001,214334.7,0.001,0.001,1142854,3476722,545725.7,555972.5,885360.3,491005.1,0.001,820768.1
40,0.203,0.003,40.755,0.014,330.36,0.12,412.9686,0,0.00569,4.19,-1,3,2,100,x,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,1.76E+07,0.001,1.60E+07,0.001,0.001,0.001
41,2.663,0.033,21.919,0.01,182.84,0.09,191.0206,0.0004,0.0051522,0.84,-1,3,29,100,,FALSE,1643783,1332361,1469190,1639282,0.001,1572252,769812.8,719435.9,1918933,1281843,1047890,1574096
42,2.203,0.069,19.302,0.009,167.06,0.08,117.0201,0.0003,0.00476,1.42,-1,2,13,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
43,0.292,0.009,29.682,0.028,244.54,0.23,255.2333,0.0002,0.0047567,0.41,-1,3,36,100,,FALSE,496694.8,475313.4,434090.3,424436.8,230679.2,233356.5,764103.9,1168517,981990.1,1409831,603286.8,1099103
44,0.527,0.047,18.361,0.009,156.72,0.08,134.8951,0.0002,0.0043978,0.54,-1,5,36,100,,FALSE,153790.6,177811.5,237146,296313.5,50389.54,98689.45,556847.4,892457.7,887198.8,837131.3,499796.5,822075.1
45,1.144,0.047,26.944,0.039,223.09,0.33,227.1041,0.0004,0.0043953,1.16,-1,3,25,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,553754.4,571872.8,133772.9,333488.3,118382.7,174414.7
46,0.218,0.005,24.767,0.026,200.92,0.22,346.9739,0.0002,0.0042292,0.07,-1,2,36,100,,FALSE,596174.2,600691.9,563702.6,554295.8,568228,563065.2,734024.6,594732,697222.6,646099.7,621769.3,639612.1
47,2.052,0.063,21.245,0.009,176.91,0.07,194.9064,0.0005,0.0041819,1.9,-1,4,10,93.5,,FALSE,0.001,0.001,1150956,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
48,0.519,0.043,48.461,0.13,388.7,1.05,653.5126,0.0005,0.0041167,2.36,-1,4,14,100,x,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,7742374,1486751,1959929,976646.4,1627100
49,2.598,0.037,21.402,0.067,181.1,0.58,154.9481,0.0002,0.0041032,1.35,-1,3,20,94.2,,FALSE,1375850,0.001,2993104,2183687,0.001,0.001,0.001,1151132,739017.1,1249107,2178305,0.001
50,2.409,0.022,21.005,0.02,178.51,0.17,146.0464,0.0003,0.0039245,0.95,-1,3,22,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,1311684,0.001,0.001,557123,567557.6,0.001
51,0.212,0.003,28.597,0.035,230.74,0.28,428.9364,0.0002,0.0038455,0.32,-1,4,34,100,,FALSE,563801.2,692422.9,600866.6,659045.6,442752,640905.4,505193.4,688185.3,792472.8,774821.9,693359.6,750868.3
52,0.777,0.051,37.014,0.051,297.91,0.41,514.2852,0.0003,0.0037868,0.82,-1,4,28,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,488852.6,435594.9,449951,835889.1,411669.5,617270.3
53,0.438,0.037,36.779,0.037,296.25,0.3,498.29,0.0003,0.0036379,0.89,-1,4,28,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,352110.1,318197.5,405049.3,413130.4,309068.1,431993.3
54,0.829,0.041,32.632,0.137,273.46,1.16,192.0341,0.0001,0.0035932,1.47,-1,4,15,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
